Description,Valence Mean,Arousal Mean,Dominance Mean,People Counter
estat,4.5,4.5,4.5,1
complexion,4.5,4.5,4.5,1
fearless,4.5,4.5,4.5,1
bedtim,4.5,4.5,4.5,1
pitiless,4.5,4.5,4.5,1
thunderstruck,4.5,4.5,4.5,1
prettiest,4.5,4.5,4.5,1
dome,4.5,4.5,4.5,1
pluck,4.5,4.5,4.5,1
blame,4.5,4.5,4.5,1
spare,4.5,4.5,4.5,1
beguil,4.5,4.5,4.5,1
broil,4.5,4.5,4.5,1
tub,4.5,4.5,4.5,1
comb,4.5,4.5,4.5,1
come,4.5,4.5,4.5,1
tug,4.5,4.5,4.5,1
berri,4.5,4.5,4.5,1
tuck,4.5,4.5,4.5,1
retir,4.5,4.5,4.5,1
pray,4.5,4.5,4.5,1
roof,4.5,4.5,4.5,1
gaieti,4.5,4.5,4.5,1
grasshopp,4.5,4.5,4.5,1
pot,4.5,4.5,4.5,1
insist,4.5,4.5,4.5,1
duti,4.5,4.5,4.5,1
twin,4.5,4.5,4.5,1
sulki,4.5,4.5,4.5,1
precious,4.5,4.5,4.5,1
late,4.5,4.5,4.5,1
stretch,4.5,4.5,4.5,1
breath,4.5,4.5,4.5,1
overjoy,4.5,4.5,4.5,1
acri,4.5,4.5,4.5,1
bedsid,4.5,4.5,4.5,1
snailshel,4.5,4.5,4.5,1
plasha,4.5,4.5,4.5,1
thousand,4.5,4.5,4.5,1
resolut,4.5,4.5,4.5,1
rubi,4.5,4.5,4.5,1
goodmorn,4.5,4.5,4.5,1
wake,4.5,4.5,4.5,1
roguish,4.5,4.5,4.5,1
impati,4.5,4.5,4.5,1
longlov,4.5,4.5,4.5,1
those,4.5,4.5,4.5,1
case,4.5,4.5,4.5,1
slipperi,4.5,4.5,4.5,1
these,4.5,4.5,4.5,1
mount,4.5,4.5,4.5,1
trick,4.5,4.5,4.5,1
cast,4.5,4.5,4.5,1
shall,4.5,4.5,4.5,1
ive,4.5,4.5,4.5,1
worri,4.5,4.5,4.5,1
destin,4.5,4.5,4.5,1
sudden,4.5,4.5,4.5,1
unmerci,4.5,4.5,4.5,1
harsh,4.5,4.5,4.5,1
paw,4.5,4.5,4.5,1
pay,4.5,4.5,4.5,1
gentlemen,4.5,4.5,4.5,1
fatima,4.5,4.5,4.5,1
speech,4.5,4.5,4.5,1
grain,4.5,4.5,4.5,1
hermit,4.5,4.5,4.5,1
week,4.5,4.5,4.5,1
exhaust,4.5,4.5,4.5,1
finish,4.5,4.5,4.5,1
nest,4.5,4.5,4.5,1
companion,4.5,4.5,4.5,1
driven,4.5,4.5,4.5,1
disguis,4.5,4.5,4.5,1
unhandi,4.5,4.5,4.5,1
weep,4.5,4.5,4.5,1
handsom,4.5,4.5,4.5,1
drain,4.5,4.5,4.5,1
floor,4.5,4.5,4.5,1
know,4.5,4.5,4.5,1
clod,4.5,4.5,4.5,1
summer,4.5,4.5,4.5,1
clog,4.5,4.5,4.5,1
violenc,4.5,4.5,4.5,1
execut,4.5,4.5,4.5,1
when,4.5,4.5,4.5,1
rest,4.5,4.5,4.5,1
kill,4.5,4.5,4.5,1
touch,4.5,4.5,4.5,1
polish,4.5,4.5,4.5,1
blow,4.5,4.5,4.5,1
sprang,4.5,4.5,4.5,1
rosi,4.5,4.5,4.5,1
hint,4.5,4.5,4.5,1
rose,4.5,4.5,4.5,1
senseless,4.5,4.5,4.5,1
parlor,4.5,4.5,4.5,1
littl,4.5,4.5,4.5,1
instrument,4.5,4.5,4.5,1
pile,4.5,4.5,4.5,1
overthrow,4.5,4.5,4.5,1
struck,4.5,4.5,4.5,1
heavier,4.5,4.5,4.5,1
earli,4.5,4.5,4.5,1
hover,4.5,4.5,4.5,1
rejoic,4.5,4.5,4.5,1
read,4.5,4.5,4.5,1
ladi,4.5,4.5,4.5,1
dart,4.5,4.5,4.5,1
earnest,4.5,4.5,4.5,1
snarl,4.5,4.5,4.5,1
dispatch,4.5,4.5,4.5,1
awok,4.5,4.5,4.5,1
grim,4.5,4.5,4.5,1
dare,4.5,4.5,4.5,1
snore,4.5,4.5,4.5,1
robberi,4.5,4.5,4.5,1
bracelet,4.5,4.5,4.5,1
shutter,4.5,4.5,4.5,1
chamber,4.5,4.5,4.5,1
stretchedout,4.5,4.5,4.5,1
nose,4.5,4.5,4.5,1
manag,4.5,4.5,4.5,1
clap,4.5,4.5,4.5,1
fulfil,4.5,4.5,4.5,1
cornwal,4.5,4.5,4.5,1
ascend,4.5,4.5,4.5,1
fourandtwenti,4.5,4.5,4.5,1
dole,4.5,4.5,4.5,1
hastypud,4.5,4.5,4.5,1
easili,4.5,4.5,4.5,1
noon,4.5,4.5,4.5,1
unluckili,4.5,4.5,4.5,1
moon,4.5,4.5,4.5,1
freed,4.5,4.5,4.5,1
uneasi,4.5,4.5,4.5,1
sixth,4.5,4.5,4.5,1
gratitud,4.5,4.5,4.5,1
sprung,4.5,4.5,4.5,1
throw,4.5,4.5,4.5,1
on,4.5,4.5,4.5,1
stone,4.5,4.5,4.5,1
wolv,4.5,4.5,4.5,1
oh,4.5,4.5,4.5,1
of,4.5,4.5,4.5,1
jeer,4.5,4.5,4.5,1
ach,4.5,4.5,4.5,1
slender,4.5,4.5,4.5,1
side,4.5,4.5,4.5,1
fell,4.5,4.5,4.5,1
wolf,4.5,4.5,4.5,1
parson,4.5,4.5,4.5,1
neighbor,4.5,4.5,4.5,1
act,4.5,4.5,4.5,1
mean,4.5,4.5,4.5,1
road,4.5,4.5,4.5,1
jasper,4.5,4.5,4.5,1
wade,4.5,4.5,4.5,1
your,4.5,4.5,4.5,1
stare,4.5,4.5,4.5,1
log,4.5,4.5,4.5,1
her,4.5,4.5,4.5,1
there,4.5,4.5,4.5,1
start,4.5,4.5,4.5,1
starv,4.5,4.5,4.5,1
lot,4.5,4.5,4.5,1
valley,4.5,4.5,4.5,1
bottl,4.5,4.5,4.5,1
groan,4.5,4.5,4.5,1
cultiv,4.5,4.5,4.5,1
bundl,4.5,4.5,4.5,1
regard,4.5,4.5,4.5,1
godmoth,4.5,4.5,4.5,1
befel,4.5,4.5,4.5,1
curtain,4.5,4.5,4.5,1
with,4.5,4.5,4.5,1
congratul,4.5,4.5,4.5,1
pull,4.5,4.5,4.5,1
rush,4.5,4.5,4.5,1
possibl,4.5,4.5,4.5,1
grasp,4.5,4.5,4.5,1
blackbird,4.5,4.5,4.5,1
expect,4.5,4.5,4.5,1
toilet,4.5,4.5,4.5,1
oxen,4.5,4.5,4.5,1
ad,4.5,4.5,4.5,1
fright,4.5,4.5,4.5,1
ah,4.5,4.5,4.5,1
deer,4.5,4.5,4.5,1
deep,4.5,4.5,4.5,1
fellow,4.5,4.5,4.5,1
as,4.5,4.5,4.5,1
at,4.5,4.5,4.5,1
pickax,4.5,4.5,4.5,1
ay,4.5,4.5,4.5,1
tranquil,4.5,4.5,4.5,1
fill,4.5,4.5,4.5,1
sayest,4.5,4.5,4.5,1
repent,4.5,4.5,4.5,1
thither,4.5,4.5,4.5,1
roser,4.5,4.5,4.5,1
tight,4.5,4.5,4.5,1
housework,4.5,4.5,4.5,1
you,4.5,4.5,4.5,1
poor,4.5,4.5,4.5,1
discours,4.5,4.5,4.5,1
princesss,4.5,4.5,4.5,1
shelter,4.5,4.5,4.5,1
marriag,4.5,4.5,4.5,1
peas,4.5,4.5,4.5,1
unbound,4.5,4.5,4.5,1
brass,4.5,4.5,4.5,1
prudent,4.5,4.5,4.5,1
peac,4.5,4.5,4.5,1
groom,4.5,4.5,4.5,1
castl,4.5,4.5,4.5,1
escap,4.5,4.5,4.5,1
all,4.5,4.5,4.5,1
pheasant,4.5,4.5,4.5,1
consider,4.5,4.5,4.5,1
vile,4.5,4.5,4.5,1
pigeon,4.5,4.5,4.5,1
forbidden,4.5,4.5,4.5,1
wreath,4.5,4.5,4.5,1
ala,4.5,4.5,4.5,1
dish,4.5,4.5,4.5,1
follow,4.5,4.5,4.5,1
merchandis,4.5,4.5,4.5,1
children,4.5,4.5,4.5,1
abid,4.5,4.5,4.5,1
carpet,4.5,4.5,4.5,1
griffin,4.5,4.5,4.5,1
queenmoth,4.5,4.5,4.5,1
to,4.5,4.5,4.5,1
tail,4.5,4.5,4.5,1
smile,4.5,4.5,4.5,1
hideous,4.5,4.5,4.5,1
sound,4.5,4.5,4.5,1
celebr,4.5,4.5,4.5,1
expati,4.5,4.5,4.5,1
fals,4.5,4.5,4.5,1
shelv,4.5,4.5,4.5,1
roe,4.5,4.5,4.5,1
worst,4.5,4.5,4.5,1
veri,4.5,4.5,4.5,1
crumb,4.5,4.5,4.5,1
soften,4.5,4.5,4.5,1
strang,4.5,4.5,4.5,1
duski,4.5,4.5,4.5,1
sang,4.5,4.5,4.5,1
small,4.5,4.5,4.5,1
sank,4.5,4.5,4.5,1
enterpris,4.5,4.5,4.5,1
ten,4.5,4.5,4.5,1
extraordinari,4.5,4.5,4.5,1
amiss,4.5,4.5,4.5,1
rate,4.5,4.5,4.5,1
design,4.5,4.5,4.5,1
resound,4.5,4.5,4.5,1
ribbon,4.5,4.5,4.5,1
excit,4.5,4.5,4.5,1
what,4.5,4.5,4.5,1
stood,4.5,4.5,4.5,1
risen,4.5,4.5,4.5,1
stoop,4.5,4.5,4.5,1
sup,4.5,4.5,4.5,1
deepli,4.5,4.5,4.5,1
movement,4.5,4.5,4.5,1
full,4.5,4.5,4.5,1
faroff,4.5,4.5,4.5,1
goodbi,4.5,4.5,4.5,1
excess,4.5,4.5,4.5,1
hast,4.5,4.5,4.5,1
goodby,4.5,4.5,4.5,1
valu,4.5,4.5,4.5,1
search,4.5,4.5,4.5,1
pick,4.5,4.5,4.5,1
real,4.5,4.5,4.5,1
narrow,4.5,4.5,4.5,1
fatten,4.5,4.5,4.5,1
depart,4.5,4.5,4.5,1
nosegay,4.5,4.5,4.5,1
africa,4.5,4.5,4.5,1
ask,4.5,4.5,4.5,1
snug,4.5,4.5,4.5,1
beheld,4.5,4.5,4.5,1
eye,4.5,4.5,4.5,1
proceed,4.5,4.5,4.5,1
girdl,4.5,4.5,4.5,1
cornic,4.5,4.5,4.5,1
two,4.5,4.5,4.5,1
pearl,4.5,4.5,4.5,1
morn,4.5,4.5,4.5,1
gorgeous,4.5,4.5,4.5,1
flat,4.5,4.5,4.5,1
wretched,4.5,4.5,4.5,1
desir,4.5,4.5,4.5,1
twentyfour,4.5,4.5,4.5,1
tumbl,4.5,4.5,4.5,1
hurri,4.5,4.5,4.5,1
unceas,4.5,4.5,4.5,1
stick,4.5,4.5,4.5,1
broke,4.5,4.5,4.5,1
magnific,4.5,4.5,4.5,1
compani,4.5,4.5,4.5,1
glad,4.5,4.5,4.5,1
town,4.5,4.5,4.5,1
hour,4.5,4.5,4.5,1
hous,4.5,4.5,4.5,1
thickest,4.5,4.5,4.5,1
pigeonhous,4.5,4.5,4.5,1
remain,4.5,4.5,4.5,1
den,4.5,4.5,4.5,1
grope,4.5,4.5,4.5,1
gallop,4.5,4.5,4.5,1
hungarywat,4.5,4.5,4.5,1
accept,4.5,4.5,4.5,1
explor,4.5,4.5,4.5,1
turtledov,4.5,4.5,4.5,1
sharp,4.5,4.5,4.5,1
swung,4.5,4.5,4.5,1
condemn,4.5,4.5,4.5,1
unlucki,4.5,4.5,4.5,1
huge,4.5,4.5,4.5,1
gaffer,4.5,4.5,4.5,1
court,4.5,4.5,4.5,1
divid,4.5,4.5,4.5,1
anoth,4.5,4.5,4.5,1
divin,4.5,4.5,4.5,1
cosili,4.5,4.5,4.5,1
reviv,4.5,4.5,4.5,1
stir,4.5,4.5,4.5,1
needl,4.5,4.5,4.5,1
bleat,4.5,4.5,4.5,1
reflect,4.5,4.5,4.5,1
wellnigh,4.5,4.5,4.5,1
embrac,4.5,4.5,4.5,1
blood,4.5,4.5,4.5,1
inquiri,4.5,4.5,4.5,1
bloom,4.5,4.5,4.5,1
plank,4.5,4.5,4.5,1
a,4.5,4.5,4.5,1
short,4.5,4.5,4.5,1
coat,4.5,4.5,4.5,1
dragon,4.5,4.5,4.5,1
caus,4.5,4.5,4.5,1
hermitag,4.5,4.5,4.5,1
dread,4.5,4.5,4.5,1
shade,4.5,4.5,4.5,1
shadi,4.5,4.5,4.5,1
herso,4.5,4.5,4.5,1
help,4.5,4.5,4.5,1
soon,4.5,4.5,4.5,1
snailshelland,4.5,4.5,4.5,1
held,4.5,4.5,4.5,1
dough,4.5,4.5,4.5,1
brim,4.5,4.5,4.5,1
ontap,4.5,4.5,4.5,1
suffer,4.5,4.5,4.5,1
forthwith,4.5,4.5,4.5,1
sauci,4.5,4.5,4.5,1
astonish,4.5,4.5,4.5,1
pad,4.5,4.5,4.5,1
delici,4.5,4.5,4.5,1
finer,4.5,4.5,4.5,1
fool,4.5,4.5,4.5,1
return,4.5,4.5,4.5,1
musket,4.5,4.5,4.5,1
ye,4.5,4.5,4.5,1
snowflak,4.5,4.5,4.5,1
goos,4.5,4.5,4.5,1
farewel,4.5,4.5,4.5,1
adventur,4.5,4.5,4.5,1
complain,4.5,4.5,4.5,1
bigger,4.5,4.5,4.5,1
feet,4.5,4.5,4.5,1
wash,4.5,4.5,4.5,1
fairi,4.5,4.5,4.5,1
galligantus,4.5,4.5,4.5,1
refresh,4.5,4.5,4.5,1
mysteri,4.5,4.5,4.5,1
did,4.5,4.5,4.5,1
undertak,4.5,4.5,4.5,1
ceas,4.5,4.5,4.5,1
harm,4.5,4.5,4.5,1
inclin,4.5,4.5,4.5,1
hare,4.5,4.5,4.5,1
terrifi,4.5,4.5,4.5,1
heavi,4.5,4.5,4.5,1
oil,4.5,4.5,4.5,1
connect,4.5,4.5,4.5,1
stabl,4.5,4.5,4.5,1
massiv,4.5,4.5,4.5,1
miss,4.5,4.5,4.5,1
robert,4.5,4.5,4.5,1
hurself,4.5,4.5,4.5,1
princ,4.5,4.5,4.5,1
countryman,4.5,4.5,4.5,1
fountain,4.5,4.5,4.5,1
hill,4.5,4.5,4.5,1
shrivel,4.5,4.5,4.5,1
difficulti,4.5,4.5,4.5,1
drink,4.5,4.5,4.5,1
serpent,4.5,4.5,4.5,1
advanc,4.5,4.5,4.5,1
puf,4.5,4.5,4.5,1
pleasant,4.5,4.5,4.5,1
reason,4.5,4.5,4.5,1
believ,4.5,4.5,4.5,1
put,4.5,4.5,4.5,1
ash,4.5,4.5,4.5,1
reproach,4.5,4.5,4.5,1
thrown,4.5,4.5,4.5,1
cymbal,4.5,4.5,4.5,1
thread,4.5,4.5,4.5,1
bridegroom,4.5,4.5,4.5,1
wither,4.5,4.5,4.5,1
threat,4.5,4.5,4.5,1
lifetim,4.5,4.5,4.5,1
fallen,4.5,4.5,4.5,1
feed,4.5,4.5,4.5,1
copper,4.5,4.5,4.5,1
dont,4.5,4.5,4.5,1
upper,4.5,4.5,4.5,1
feel,4.5,4.5,4.5,1
exchang,4.5,4.5,4.5,1
number,4.5,4.5,4.5,1
slipper,4.5,4.5,4.5,1
elder,4.5,4.5,4.5,1
dint,4.5,4.5,4.5,1
horribl,4.5,4.5,4.5,1
glitter,4.5,4.5,4.5,1
fanci,4.5,4.5,4.5,1
meadow,4.5,4.5,4.5,1
guess,4.5,4.5,4.5,1
breathless,4.5,4.5,4.5,1
guest,4.5,4.5,4.5,1
stori,4.5,4.5,4.5,1
precipic,4.5,4.5,4.5,1
twenti,4.5,4.5,4.5,1
unbolt,4.5,4.5,4.5,1
store,4.5,4.5,4.5,1
flatteri,4.5,4.5,4.5,1
park,4.5,4.5,4.5,1
grace,4.5,4.5,4.5,1
b,4.5,4.5,4.5,1
frock,4.5,4.5,4.5,1
ogress,4.5,4.5,4.5,1
lament,4.5,4.5,4.5,1
i,4.5,4.5,4.5,1
asham,4.5,4.5,4.5,1
crabshel,4.5,4.5,4.5,1
bridl,4.5,4.5,4.5,1
arrang,4.5,4.5,4.5,1
toe,4.5,4.5,4.5,1
danc,4.5,4.5,4.5,1
marbl,4.5,4.5,4.5,1
expir,4.5,4.5,4.5,1
nightingal,4.5,4.5,4.5,1
sell,4.5,4.5,4.5,1
imagin,4.5,4.5,4.5,1
built,4.5,4.5,4.5,1
cave,4.5,4.5,4.5,1
couch,4.5,4.5,4.5,1
lit,4.5,4.5,4.5,1
lip,4.5,4.5,4.5,1
build,4.5,4.5,4.5,1
bobbin,4.5,4.5,4.5,1
play,4.5,4.5,4.5,1
gild,4.5,4.5,4.5,1
reach,4.5,4.5,4.5,1
plan,4.5,4.5,4.5,1
eaten,4.5,4.5,4.5,1
amaz,4.5,4.5,4.5,1
clear,4.5,4.5,4.5,1
cover,4.5,4.5,4.5,1
clean,4.5,4.5,4.5,1
weigh,4.5,4.5,4.5,1
skein,4.5,4.5,4.5,1
peartre,4.5,4.5,4.5,1
ugh,4.5,4.5,4.5,1
fond,4.5,4.5,4.5,1
fine,4.5,4.5,4.5,1
find,4.5,4.5,4.5,1
giant,4.5,4.5,4.5,1
staircas,4.5,4.5,4.5,1
queengov,4.5,4.5,4.5,1
ruin,4.5,4.5,4.5,1
firewood,4.5,4.5,4.5,1
fruit,4.5,4.5,4.5,1
his,4.5,4.5,4.5,1
express,4.5,4.5,4.5,1
grew,4.5,4.5,4.5,1
hid,4.5,4.5,4.5,1
longest,4.5,4.5,4.5,1
salut,4.5,4.5,4.5,1
chimney,4.5,4.5,4.5,1
think,4.5,4.5,4.5,1
proclaim,4.5,4.5,4.5,1
common,4.5,4.5,4.5,1
cri,4.5,4.5,4.5,1
courteous,4.5,4.5,4.5,1
set,4.5,4.5,4.5,1
barefac,4.5,4.5,4.5,1
gothel,4.5,4.5,4.5,1
see,4.5,4.5,4.5,1
are,4.5,4.5,4.5,1
sea,4.5,4.5,4.5,1
portrait,4.5,4.5,4.5,1
outward,4.5,4.5,4.5,1
barn,4.5,4.5,4.5,1
merci,4.5,4.5,4.5,1
grandmoth,4.5,4.5,4.5,1
won,4.5,4.5,4.5,1
kneel,4.5,4.5,4.5,1
numer,4.5,4.5,4.5,1
sold,4.5,4.5,4.5,1
sole,4.5,4.5,4.5,1
pirat,4.5,4.5,4.5,1
succeed,4.5,4.5,4.5,1
hairi,4.5,4.5,4.5,1
last,4.5,4.5,4.5,1
sultan,4.5,4.5,4.5,1
thou,4.5,4.5,4.5,1
whosoev,4.5,4.5,4.5,1
nightfal,4.5,4.5,4.5,1
matakin,4.5,4.5,4.5,1
afar,4.5,4.5,4.5,1
load,4.5,4.5,4.5,1
loaf,4.5,4.5,4.5,1
onward,4.5,4.5,4.5,1
distress,4.5,4.5,4.5,1
bell,4.5,4.5,4.5,1
sweet,4.5,4.5,4.5,1
hollow,4.5,4.5,4.5,1
provok,4.5,4.5,4.5,1
majesti,4.5,4.5,4.5,1
bridg,4.5,4.5,4.5,1
forgiv,4.5,4.5,4.5,1
empti,4.5,4.5,4.5,1
whos,4.5,4.5,4.5,1
secret,4.5,4.5,4.5,1
threaten,4.5,4.5,4.5,1
woke,4.5,4.5,4.5,1
woodcutt,4.5,4.5,4.5,1
firm,4.5,4.5,4.5,1
invis,4.5,4.5,4.5,1
flight,4.5,4.5,4.5,1
gay,4.5,4.5,4.5,1
imag,4.5,4.5,4.5,1
hind,4.5,4.5,4.5,1
great,4.5,4.5,4.5,1
understand,4.5,4.5,4.5,1
demand,4.5,4.5,4.5,1
cruelti,4.5,4.5,4.5,1
furrow,4.5,4.5,4.5,1
stolen,4.5,4.5,4.5,1
abod,4.5,4.5,4.5,1
look,4.5,4.5,4.5,1
frozen,4.5,4.5,4.5,1
straight,4.5,4.5,4.5,1
ingratitud,4.5,4.5,4.5,1
rope,4.5,4.5,4.5,1
pace,4.5,4.5,4.5,1
while,4.5,4.5,4.5,1
everyon,4.5,4.5,4.5,1
pack,4.5,4.5,4.5,1
kingdom,4.5,4.5,4.5,1
accurs,4.5,4.5,4.5,1
readi,4.5,4.5,4.5,1
leant,4.5,4.5,4.5,1
hidingplac,4.5,4.5,4.5,1
rip,4.5,4.5,4.5,1
rim,4.5,4.5,4.5,1
virtu,4.5,4.5,4.5,1
quail,4.5,4.5,4.5,1
rid,4.5,4.5,4.5,1
vanish,4.5,4.5,4.5,1
grant,4.5,4.5,4.5,1
belong,4.5,4.5,4.5,1
miser,4.5,4.5,4.5,1
grand,4.5,4.5,4.5,1
terrac,4.5,4.5,4.5,1
higher,4.5,4.5,4.5,1
flurri,4.5,4.5,4.5,1
leapt,4.5,4.5,4.5,1
climb,4.5,4.5,4.5,1
task,4.5,4.5,4.5,1
entri,4.5,4.5,4.5,1
cheek,4.5,4.5,4.5,1
spent,4.5,4.5,4.5,1
unlac,4.5,4.5,4.5,1
chees,4.5,4.5,4.5,1
expens,4.5,4.5,4.5,1
tast,4.5,4.5,4.5,1
howl,4.5,4.5,4.5,1
propos,4.5,4.5,4.5,1
morsel,4.5,4.5,4.5,1
shape,4.5,4.5,4.5,1
daybreak,4.5,4.5,4.5,1
pebbl,4.5,4.5,4.5,1
timber,4.5,4.5,4.5,1
goblet,4.5,4.5,4.5,1
cup,4.5,4.5,4.5,1
persuad,4.5,4.5,4.5,1
spindl,4.5,4.5,4.5,1
eager,4.5,4.5,4.5,1
snap,4.5,4.5,4.5,1
cun,4.5,4.5,4.5,1
speedili,4.5,4.5,4.5,1
march,4.5,4.5,4.5,1
insol,4.5,4.5,4.5,1
big,4.5,4.5,4.5,1
bid,4.5,4.5,4.5,1
charcoalburn,4.5,4.5,4.5,1
awaken,4.5,4.5,4.5,1
faggotmak,4.5,4.5,4.5,1
knock,4.5,4.5,4.5,1
leisur,4.5,4.5,4.5,1
stranger,4.5,4.5,4.5,1
resolv,4.5,4.5,4.5,1
elaps,4.5,4.5,4.5,1
gretel,4.5,4.5,4.5,1
arthur,4.5,4.5,4.5,1
pilgrimag,4.5,4.5,4.5,1
downstair,4.5,4.5,4.5,1
embroid,4.5,4.5,4.5,1
canst,4.5,4.5,4.5,1
some,4.5,4.5,4.5,1
undress,4.5,4.5,4.5,1
urgent,4.5,4.5,4.5,1
palm,4.5,4.5,4.5,1
sight,4.5,4.5,4.5,1
mirror,4.5,4.5,4.5,1
surpris,4.5,4.5,4.5,1
pale,4.5,4.5,4.5,1
scale,4.5,4.5,4.5,1
plenti,4.5,4.5,4.5,1
disfigur,4.5,4.5,4.5,1
reckon,4.5,4.5,4.5,1
larg,4.5,4.5,4.5,1
undon,4.5,4.5,4.5,1
behelda,4.5,4.5,4.5,1
pea,4.5,4.5,4.5,1
spangl,4.5,4.5,4.5,1
be,4.5,4.5,4.5,1
run,4.5,4.5,4.5,1
rub,4.5,4.5,4.5,1
themsh,4.5,4.5,4.5,1
step,4.5,4.5,4.5,1
squeez,4.5,4.5,4.5,1
meantim,4.5,4.5,4.5,1
by,4.5,4.5,4.5,1
shine,4.5,4.5,4.5,1
faith,4.5,4.5,4.5,1
wore,4.5,4.5,4.5,1
materi,4.5,4.5,4.5,1
lifeless,4.5,4.5,4.5,1
idl,4.5,4.5,4.5,1
goodi,4.5,4.5,4.5,1
block,4.5,4.5,4.5,1
repair,4.5,4.5,4.5,1
hazelswitch,4.5,4.5,4.5,1
moss,4.5,4.5,4.5,1
savag,4.5,4.5,4.5,1
piteous,4.5,4.5,4.5,1
announc,4.5,4.5,4.5,1
snowwhit,4.5,4.5,4.5,1
question,4.5,4.5,4.5,1
long,4.5,4.5,4.5,1
rapunzel,4.5,4.5,4.5,1
prettier,4.5,4.5,4.5,1
suit,4.5,4.5,4.5,1
forward,4.5,4.5,4.5,1
perplex,4.5,4.5,4.5,1
frost,4.5,4.5,4.5,1
cloth,4.5,4.5,4.5,1
reed,4.5,4.5,4.5,1
branch,4.5,4.5,4.5,1
line,4.5,4.5,4.5,1
dull,4.5,4.5,4.5,1
heinrich,4.5,4.5,4.5,1
up,4.5,4.5,4.5,1
foresight,4.5,4.5,4.5,1
constant,4.5,4.5,4.5,1
curs,4.5,4.5,4.5,1
haunt,4.5,4.5,4.5,1
cure,4.5,4.5,4.5,1
chat,4.5,4.5,4.5,1
curl,4.5,4.5,4.5,1
doe,4.5,4.5,4.5,1
prevail,4.5,4.5,4.5,1
cotton,4.5,4.5,4.5,1
nich,4.5,4.5,4.5,1
transport,4.5,4.5,4.5,1
nay,4.5,4.5,4.5,1
mock,4.5,4.5,4.5,1
dale,4.5,4.5,4.5,1
draw,4.5,4.5,4.5,1
drag,4.5,4.5,4.5,1
desert,4.5,4.5,4.5,1
deserv,4.5,4.5,4.5,1
land,4.5,4.5,4.5,1
age,4.5,4.5,4.5,1
firesid,4.5,4.5,4.5,1
vow,4.5,4.5,4.5,1
heath,4.5,4.5,4.5,1
forsak,4.5,4.5,4.5,1
worn,4.5,4.5,4.5,1
sonh,4.5,4.5,4.5,1
fresh,4.5,4.5,4.5,1
edg,4.5,4.5,4.5,1
dainti,4.5,4.5,4.5,1
scratch,4.5,4.5,4.5,1
smallnay,4.5,4.5,4.5,1
go,4.5,4.5,4.5,1
strew,4.5,4.5,4.5,1
procur,4.5,4.5,4.5,1
send,4.5,4.5,4.5,1
blaze,4.5,4.5,4.5,1
fatal,4.5,4.5,4.5,1
sausag,4.5,4.5,4.5,1
disclos,4.5,4.5,4.5,1
mous,4.5,4.5,4.5,1
spoon,4.5,4.5,4.5,1
magic,4.5,4.5,4.5,1
knight,4.5,4.5,4.5,1
button,4.5,4.5,4.5,1
shock,4.5,4.5,4.5,1
michael,4.5,4.5,4.5,1
race,4.5,4.5,4.5,1
beastasleep,4.5,4.5,4.5,1
woefulli,4.5,4.5,4.5,1
marri,4.5,4.5,4.5,1
pleas,4.5,4.5,4.5,1
cap,4.5,4.5,4.5,1
fortun,4.5,4.5,4.5,1
carter,4.5,4.5,4.5,1
battl,4.5,4.5,4.5,1
mishap,4.5,4.5,4.5,1
agreeabl,4.5,4.5,4.5,1
jump,4.5,4.5,4.5,1
booti,4.5,4.5,4.5,1
folk,4.5,4.5,4.5,1
twine,4.5,4.5,4.5,1
poke,4.5,4.5,4.5,1
henceforth,4.5,4.5,4.5,1
led,4.5,4.5,4.5,1
urchin,4.5,4.5,4.5,1
spake,4.5,4.5,4.5,1
bodi,4.5,4.5,4.5,1
let,4.5,4.5,4.5,1
gaili,4.5,4.5,4.5,1
sing,4.5,4.5,4.5,1
fifteen,4.5,4.5,4.5,1
sinc,4.5,4.5,4.5,1
remark,4.5,4.5,4.5,1
convers,4.5,4.5,4.5,1
fetch,4.5,4.5,4.5,1
grandchild,4.5,4.5,4.5,1
geni,4.5,4.5,4.5,1
simpleton,4.5,4.5,4.5,1
chang,4.5,4.5,4.5,1
behead,4.5,4.5,4.5,1
shovel,4.5,4.5,4.5,1
disobey,4.5,4.5,4.5,1
duck,4.5,4.5,4.5,1
blunderbor,4.5,4.5,4.5,1
fed,4.5,4.5,4.5,1
next,4.5,4.5,4.5,1
generos,4.5,4.5,4.5,1
doubt,4.5,4.5,4.5,1
midday,4.5,4.5,4.5,1
rick,4.5,4.5,4.5,1
sort,4.5,4.5,4.5,1
clever,4.5,4.5,4.5,1
shipwreck,4.5,4.5,4.5,1
sharpli,4.5,4.5,4.5,1
billet,4.5,4.5,4.5,1
musician,4.5,4.5,4.5,1
sister,4.5,4.5,4.5,1
harvest,4.5,4.5,4.5,1
broth,4.5,4.5,4.5,1
women,4.5,4.5,4.5,1
account,4.5,4.5,4.5,1
goodeven,4.5,4.5,4.5,1
perceiv,4.5,4.5,4.5,1
this,4.5,4.5,4.5,1
ride,4.5,4.5,4.5,1
pour,4.5,4.5,4.5,1
gruff,4.5,4.5,4.5,1
thin,4.5,4.5,4.5,1
meet,4.5,4.5,4.5,1
contalabutt,4.5,4.5,4.5,1
scatter,4.5,4.5,4.5,1
slid,4.5,4.5,4.5,1
od,4.5,4.5,4.5,1
tap,4.5,4.5,4.5,1
bent,4.5,4.5,4.5,1
